"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","U14","54.08","0.75","12.84","7.79","*","0.098","3.508","3.081","1.906","10.226","0.697","*","*","*","0.246","4.391","*","45","54.08","21.896","0.76","*","*","*","0.286","469.36","*","19.7","272.5","6.86","113.27","11.918","3.84","8.379","*","16.3","24.775","*","23.49","*","1.749","*","*","*","213.349","29.43","0.409","32.02","*","26.51","217.28","212.51","*","257.11","*","57.037","*","580.2","*","*","*","1441","0.204","*","0.465","39.57","8.73","754.96","2.07","2.689","*","114.64","2.88","0.474","12.835","142.5","4.092","45.51","2.902","107.8","847"
"12","U17","54.78","0.6633","12.94","7.541","*","0.1","3.283","2.977","1.667","10.49","0.7033","*","*","*","*","3.607","*","*","5633.3","*","*","*","*","*","*","511.3","*","20.87","312","10.37","120.3","11.93","3.483","4.533","*","25.1","26.6","*","15.67","0.0133","1.54","*","*","*","211","30.03","0.4","25.53","*","25.63","196.7","223.3","*","263.7","*","56.93","*","645","*","*","*","*","*","*","0.25","38.83","*","777.7","*","2.703","*","134.3","4.083","0.3833","12.47","158.3","*","*","2.27","114.3","612.3"
"13","U18","55.639","0.807","12.983","7.822","*","0.106","3.263","3.116","1.697","10.717","0.601","*","*","2.406","*","*","*","*","5162","*","*","*","*","*","*","*","*","13","295","*","86","*","*","*","3876","27","*","*","6","*","*","*","*","*","*","30","*","*","*","*","*","200","*","100","*","*","*","*","*","*","*","*","*","*","*","*","*","721","*","*","*","*","*","*","*","*","*","40","*","93","385"
"14","U19","55.34","0.8","12.77","7.74","*","*","3.36","3.22","1.76","10.29","0.71","*","*","*","*","*","*","*","5060","*","*","*","*","*","*","449","*","*","407","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","22","*","*","*","244","*","*","*","687","*","*","*","*","*","*","*","*","*","763","*","*","*","*","*","*","*","174","*","47","*","152","888"
"15","U19.1","*","*","*","*","*","*","*","*","*","*","*","*","*","2.23","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","121","*","*","*","*","*","*","*","*","*","*","*","*","*","203","*","*","*","*","*","*","165","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"16","U20","55.17","0.8","12.95","7.77","3","0.101","3.29","3.21","1.82","10.42","0.71","*","*","2.11","*","7","*","*","4987","*","*","*","*","*","*","372","*","17","320","*","118","*","*","*","*","20","*","*","*","*","*","*","*","*","257","*","*","*","*","27","160","234","*","249","*","*","*","630","*","*","*","*","*","*","*","*","*","818","*","*","*","127","*","*","21","145","*","43","*","107","1022"
"17","U21","56.88","0.75","12.98","7.32","*","0.09","3.33","2.9","1.89","10.59","0.73","*","*","2.29","*","*","*","*","6317","16.57","*","*","*","*","*","517.62","*","*","*","*","*","12.63","4.86","10.26","*","26","34.33","1.57","17.85","*","1.75","*","*","*","221.06","*","0.5","*","*","15","222.19","184","*","239","*","55.23","*","589","*","*","*","*","*","8","*","44.19","10.42","669","4","3.63","*","125","*","0.56","13.25","138","*","65","3.28","117","740"
"18","U22","55.3","0.79","13.15","7.78","*","0.102","3.27","3.16","1.78","10.39","0.706","*","*","2.37","*","*","*","*","5067","*","*","18","*","4995","15","419","190","6","276","*","121","*","*","*","4380","18","*","*","21","*","*","18","*","*","243","*","*","25","*","8","205","221","*","245","*","43","*","627","*","*","*","893","16","4","*","23","*","782","8","*","*","73","*","*","12","154","*","65","*","113","868"
"19","U23","55.395","0.79","12.885","7.789","*","0.103","3.245","3.116","1.715","10.55","*","*","*","3.21","*","*","*","*","5289","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","754","*","*","*","1660","*","*","*","*","*","905","*","*","*","*","*","*","*","*","*","*","*","*","999"
"20","U24","56","0.75","13.15","8.11","2.74","0.095","3.02","3.03","2.07","10.1","0.68","*","*","2.45","0.71","*","*","*","4915","20.4","*","*","*","*","0.08","441","*","18","329.7","*","118.8","10.39","3.83","8.24","*","*","23.3","*","*","*","1.62","*","*","*","181.4","*","0.38","36.8","*","*","192.3","231.5","*","267.5","*","46.9","*","*","*","*","*","1772","*","16.4","1.08","35.14","*","718","*","4.01","*","*","*","0.5","*","155.8","*","44.1","2.8","133","742"
"21","U25","56.1","0.79","12.1","8.14","*","0.107","3.86","3.7","1.58","9.86","0.741","*","*","1.9","*","*","*","*","5330","*","*","*","*","*","*","387","218","*","221","*","169","*","*","*","1830","*","*","*","*","*","*","*","*","*","*","*","*","*","*","23","293","223","*","250","*","*","*","645","*","*","*","1010","*","*","*","*","*","776","*","*","*","*","*","*","*","*","*","*","*","116","917"
"22","U26","55.5","0.747","12.5","7.61","*","0.099","3.29","3.13","1.61","10.3","0.694","*","*","2.63","*","*","*","*","5160","22","*","*","*","*","*","472","*","11.5","238","10.4","121","12.1","3.82","8.63","*","*","28.9","3.55","25","*","1.65","*","*","*","213","*","0.41","35.1","*","26.1","228","207","*","263","*","54.8","*","1600","*","*","*","1800","*","8.9","*","40.4","*","800","*","2.85","4.3","117","3.95","0.44","12.9","124","3","45.6","3.07","100","899"
"23","U27","55.96","0.8","13.09","7.78","*","0.127","3.28","3.21","1.75","11.16","0.71","*","*","2.34","*","1","*","*","3800","*","*","*","*","*","3","*","*","16","264","*","120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","241","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2","*","10","160","*","*","*","114","*"
"24","U28","*","0.789","*","*","*","0.102","*","*","*","*","*","*","*","*","*","*","*","*","5149","22.8","0.85","*","*","*","*","495","*","20.2","305","10.8","117","12.6","4.6","9.09","*","23","26","*","25","*","1.93","*","*","*","225","31.1","0.45","31.3","*","30.6","236","234","*","273","*","61","*","643","*","*","*","*","*","15.4","*","42","9.03","802","1.48","2.94","*","145","4.95","0.52","14.6","157","*","52.9","3.18","107","1064"
"25","U30","56.42","0.79","13.17","7.63","*","0.094","3.32","3.14","1.84","10.44","0.73","*","*","2.43","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"26","U32","54.28","0.794","12.66","7.9","*","0.103","3.29","3.06","1.74","10.18","0.71","*","*","*","*","*","*","*","5230","*","*","*","*","7018","*","471","*","*","321","*","111","*","*","*","*","*","*","*","*","*","*","*","*","*","222","*","*","*","*","*","*","230","*","*","*","*","*","*","*","*","*","1512","*","*","*","*","*","*","*","*","*","*","*","*","*","158","*","48","*","115","922"
"27","U33","56.007","0.826","13.016","8.066","*","0.104","3.403","3.024","1.718","11.038","0.72","*","*","2.13","*","*","*","*","5190","*","*","*","*","*","*","*","*","22","303","*","117","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","34","*","29","*","150","*","257","*","*","*","675","*","*","*","*","*","*","*","*","*","774","*","*","*","112","*","*","*","188","*","53","*","114","955"
"28","U34","*","0.809","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","5150","*","*","*","*","*","*","484","*","21.8","336","10.9","123","11.4","3.87","8.52","*","*","25.4","*","15.2","*","1.76","*","*","*","219","34.1","0.426","42.9","*","29.3","232","250","*","270","*","56.9","*","664","*","*","*","*","0.2","16.3","*","39.9","20.8","817","1.92","2.77","*","130","4.79","*","13.8","156","*","57.1","2.83","115","633"
"29","U35","55.49","0.801","13.04","7.8","*","0.101","3.34","3.17","1.74","10.41","0.723","*","*","2","*","*","*","*","5687","*","*","*","*","*","*","439","*","18","281","*","*","*","*","*","*","19","*","*","*","*","*","*","*","*","185","*","*","*","*","27","217","163","*","257","*","*","*","681","*","*","*","*","*","16","*","*","*","802","*","*","*","115","*","*","17","182","*","50","*","117","940"
