"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"54","V50","71.86","0.28","13.94","2.44","1.46","0.06","0.39","1.2","3.86","4.76","0.14","0.65",NA,"0.73",NA,NA,NA,NA,NA,"351","9.56","1.06",NA,"0.072","66.77",NA,"2.57","186.7","17.307","6.83","4.682","2.552","0.568",NA,"21.1","4.908",NA,"4.9",NA,"0.865",NA,NA,NA,"30.38","130.7","0.365","3.447",NA,"14.9","28.1","5.499",NA,"25.654",NA,"7.745",NA,"270.7",NA,NA,NA,NA,"0.21","4.294",NA,"5.74",NA,"110.1","2.33","0.788",NA,"20.23","2.011","0.379","5.79","13.306","0.487","24.28","2.52","49.98","165.8"
"55","V51","71.93","0.305","14.13","2.47",NA,"0.058","0.44","1.14","3.59","4.73","0.14",NA,NA,"0.69",NA,"0.135",NA,NA,NA,"352","8.84","1.061",NA,"0.107","65.7",NA,"2.88","202","17.36","6.87","4.637","2.487","0.602",NA,"22.7","5.05",NA,"5.18",NA,"0.864",NA,NA,NA,"29.3","129","0.376","2.85",NA,"16.8","28.1","5.42",NA,"24.2",NA,"7.59",NA,"277",NA,NA,NA,NA,"0.126","4.596",NA,"5.713","14.4","116","2.543","0.845",NA,"20.04","1.638","0.382","5.28","13.32","0.507","24.9","2.462","52.5","168.5"
"56","V52","72.25","0.293","14.31","2.47",NA,"0.055","0.39","1.19","3.82","4.68","0.138",NA,NA,"0.49",NA,NA,"2.8",NA,NA,"342",NA,NA,NA,"0.2","66",NA,"5","215","12",NA,NA,NA,NA,NA,"22",NA,NA,"5",NA,NA,NA,NA,NA,"34",NA,NA,"3",NA,"15","30","2",NA,"29",NA,"5",NA,"287",NA,NA,NA,NA,"4","11",NA,"5","7","109",NA,NA,NA,"19",NA,NA,"3","14",NA,"22",NA,"56","165"
"57","V53","74.6","0.377","13.9","2.438",NA,"0.0537","0.356","1.08","3.925","2.67","0.12",NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,"30.5",NA,"2.24","183","13.96","5.63","2.82","1.71","0.3",NA,NA,"2.61",NA,NA,NA,"0.57",NA,NA,NA,"14.3",NA,"0.28",NA,NA,NA,"13.8","4.89",NA,"20.5",NA,"3.53",NA,"196",NA,NA,NA,NA,"0.19","2.62",NA,"2.91",NA,"127",NA,"0.46",NA,"9.398",NA,"0.26","3.34","12.96",NA,"14.5","1.83","52.7","178"
"58","V54","75.33","0.297","13.89","2.38",NA,"0.06","0.313","1.156","3.545","4.176","0.138",NA,NA,NA,NA,NA,NA,NA,NA,"332","8.7",NA,NA,NA,"65.68",NA,"2.85","191","17.31","7.2","4.57","2.54","0.61",NA,"22.29","4.75",NA,"4.42",NA,"0.89",NA,NA,NA,"28.3",NA,"0.36",NA,NA,"13.51","27.61","5.08",NA,NA,NA,"7.45",NA,"270.9",NA,NA,NA,NA,NA,"3.6",NA,"5.76","12.89","108.1","2.49","0.79",NA,"19.03",NA,"0.38","5.54","9.35","3.54","27.2","2.52","52.6","174.8"
"59","V55","70.79","0.328","14.85","2.88","1.6","0.07","0.51","1.15","3.7","4.72","0.11",NA,NA,"0.83",NA,"0.417682666666667","2.314657","0.701365333333333","5.444948","267.971754333333","9.68629566666667","1.14322166666667",NA,"0.166809666666667","55.710039",NA,"3.12517066666667","221.017042","17.902137","9.31904166666667","4.3824025","2.255701","0.622419",NA,"26.04601","4.971195","1.71715466666667","4.357228","0.1466245","0.8076965",NA,NA,"0.018848","23.9375635","153.875816","0.3234565","3.35176833333333",NA,"19.6748303333333","29.9306125","6.58836666666667",NA,"26.9268263333333","5.27806933333333","8.075887","0.0495286666666667","236.455391",NA,"0.003899","0.006973",NA,"0.175691333333333","4.8338845",NA,"5.9520535","15.195285","132.827571","4.45629433333333","0.7377795","0.036311","17.5661365","1.849535","0.3355135","5.92684866666667","16.0563543333333","0.625371666666667","20.6811555","2.306216","53.3464593333333","126.7126335"
"60","V56","71.548","0.291","13.952","2.376",NA,"0.059","0.363","1.139","3.645","4.698","0.128",NA,NA,"0.723",NA,"0.391","2.3",NA,NA,"350.1","8.58",NA,NA,"0.216","57.5",NA,"2.33","179.9","17.1","6.9","4.2","2.192","0.508",NA,"22.4","4.39","1.1","4.46",NA,"0.794",NA,NA,NA,"26.4","113.2","0.544","2.5",NA,"15.2","24.67","4.6",NA,"25",NA,"6.53",NA,"282.3",NA,NA,NA,NA,"0.128","4.9",NA,"5.2","12.9","114.2","2","0.683",NA,"17.71","1.97","0.328","5.15","13.9",NA,"25.7","2.297","55","164.3"
"61","V57","72.09","0.295","13.97","2.48","1.84","0.062","0.38","1.21","3.57","4.55","0.125","0.84",NA,"0.64",NA,NA,"1.57",NA,NA,"412","9.2","1.11",NA,NA,NA,NA,NA,"193","16","9",NA,NA,NA,"1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116",NA,"2.5",NA,"15",NA,"12",NA,"23.5",NA,NA,NA,"268",NA,NA,NA,NA,"0.15",NA,NA,NA,"6.5","118",NA,NA,NA,"20.5",NA,NA,"6","12",NA,NA,NA,"54.1","163"
"62","V58","72.34","0.3","14.1","2.47",NA,"0.05","0.38","1.15","3.62","4.87","0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","V59",NA,"0.27","13.79","2.4",NA,"0.057","0.68","1.04","3.65","4.81",NA,NA,NA,NA,NA,NA,"1.8",NA,NA,"346",NA,NA,NA,NA,"62.6",NA,"2.56","202","16.8",NA,"4.4",NA,"0.63",NA,"21",NA,NA,"4.87",NA,NA,NA,NA,NA,"30.1",NA,"0.34",NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,"277",NA,NA,NA,NA,NA,"4.13",NA,"5.63",NA,"112","2.53","0.73",NA,"19.7",NA,NA,"5.3","13.6",NA,NA,"2.11","56","182"
