"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"53","D49","38.9","3.89","9.94","13",NA,"0.213","11.98","12.9","3.54","1.3","0.877",NA,"0.33","1.84",NA,NA,"0.9",NA,"753","2.37",NA,NA,NA,"138",NA,"59.7","462","0.55","50","7.19","2.84","4.1",NA,"19.7","11.3",NA,"7.1",NA,"1.33",NA,"0.094","66.4","17.9","0.25","0.89",NA,"96.7","61.5","272","5","16.3","31.3","150",NA,"28.9","3.4","12.3",NA,"1210","6","1.54",NA,"8.16",NA,"0.36","2.46","298",NA,"30.7","1.81","107","294"
"54","D50","37.5","3.96",NA,"13.8",NA,"0.21",NA,"13.2",NA,NA,"0.88",NA,NA,"1.62",NA,NA,NA,NA,"830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,"1190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280"
"55","D51","38.79","3.81","10.32","13.13",NA,"0.205","13.73","12.91","2.96","1.26","0.855",NA,NA,"1.64",NA,NA,NA,NA,"773","2.51","0.05",NA,"0.09","128",NA,"65.6","457","1.1","89.4","7.49","3.68","5.16",NA,"21","13.4",NA,"7.9","0.03","1.21",NA,"0.09","63.7","17","0.3","1.5",NA,"77.6","62.9","318","5.6","15.7","32.5",NA,NA,"22.1","0.44","13.1",NA,"1121","2.3","2.01",NA,"8.62",NA,"0.34","2.49","339",NA,"28.3","2.18","167","278"
"56","D52",NA,"4.058","10.53","13.74",NA,"0.213","15.52","13.42","3.488","1.34","1.058",NA,NA,NA,NA,"0.06","0.176","6.209","819.2","2.518",NA,NA,"0.119","139.7",NA,"63.99","424.8","0.657","56.44","7.551","3.013","4.233",NA,"16.96","11.2",NA,"6.935",NA,"1.264",NA,NA,"69.73","17.66","0.25","0.653",NA,"88.1","65.34","345.7","2.873","16.73","32.9",NA,"0.135",NA,NA,"13.27","2.251","1407","4.743","1.478",NA,"7.544",NA,"0.351","2.293","307.2","0.618","31.43","2.055","128.7","315"
"57","D53","37.7541520321124","3.81828254311461","10.0539456170772","13.5491424070493",NA,"0.205168415950584","14.1489853462252","12.8763807206045","3.40597340740047","1.24466040031013","0.911721847247784",NA,NA,"1.67",NA,NA,NA,NA,"731.705186852747",NA,NA,NA,NA,"120.095727225631",NA,NA,"435.273782090946","0.537120820290329","55.947033902672","7.60567548550428","2.76277668451297","4.11701370102971",NA,"19.9183157349827","10.8659253377326",NA,"6.70671124651093",NA,"1.25578354017483",NA,NA,"63.7952427539985",NA,"0.23490906571397",NA,NA,"85.2603917809636","62.0731282687783","304.340147774221","2.79621496347334","15.5043521738801","30.4598684625851",NA,NA,"23.2176950930037",NA,"12.8526170558008",NA,"1205.44865717694","4.29869006922112","1.48929520721794",NA,"7.54711924260488",NA,"0.332939888975299","2.19081954718353","285.984052881198",NA,"30.7686461724963","1.76059076977567","119.021700396784","291.158909420188"
"58","D54","38.15","3.69","9.57","12.57",NA,"0.15","11.87","13.64","4.05","1.64","0.81",NA,NA,NA,NA,"6.06","0.42",NA,"753.13",NA,NA,NA,"2.23","87.05","53.62","59.53","433.72",NA,"62.34",NA,NA,NA,NA,"19.88",NA,NA,"6.72",NA,NA,NA,NA,"62.56",NA,NA,"1.04",NA,"86.88","48.22","315.77","0.8",NA,"32.01",NA,NA,"21.79","0.23","10.24","1.53","1125.88","5.95",NA,NA,"12.46",NA,NA,"4.85","290.49","3.74","29.04","0.43","112.53","279.74"
"59","D54.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D55","37.999","3.729","10.291","13.409",NA,"0.205","14.423","12.88","3.461","1.275","0.909",NA,NA,"1.61",NA,NA,NA,NA,"769.3",NA,NA,NA,NA,NA,NA,"55.6","453.4",NA,"62.9",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.6",NA,"315","5.4",NA,"31.8",NA,NA,"26.5",NA,NA,NA,"1205.3",NA,NA,NA,"8",NA,NA,"2",NA,NA,"33.3",NA,"109","294.6"
"61","D55.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"299.9",NA,NA,NA,NA,NA
"62","D56","37.3427791368053","3.92800108674309","10.080245092385","13.1787340297033",NA,"0.203381869654523","14.8818750013405","13.2589059989768","2.95488077252464","1.26914557198482","0.761184798243607",NA,NA,"1.69073601799959",NA,NA,"0.46359",NA,"810.4984",NA,"0.82696",NA,NA,"103.1117",NA,"65.24754","464.8609",NA,"63.15578",NA,NA,NA,NA,"22.80282",NA,NA,"5.54061",NA,NA,NA,NA,"62.14727",NA,NA,"1.41734",NA,"95.661","50.10037","327.7104","3.08861",NA,"35.35988",NA,NA,"23.35911","1.14111","10.73404",NA,"1176.083","9.13763",NA,NA,"10.41457",NA,NA,NA,"325.3743","1.58521","31.65192","0.58532","113.1756","300.2136"
