"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"58","P60","70.692","0.273","12.337","2.936","*","0.06","0.425","1.186","4.488","2.22","0.071","*","*","0.82","*","*","*","*","367.5","*","*","*","*","*","*","62.14","*","4.35","57.16","*","15.28","15.41","10.14","2.01","*","17.3","13.89","*","14.48","*","3.35","*","*","34.99","9.22","1.57","4.22","14.8","45.23","4.06","4.79","*","10.26","59.64","*","*","9.31","*","*","11.55","*","74.68","2.32","2.42","*","6.39","*","1.64","1.66","10.58","*","84.23","9.92","50.67","228.8"
"59","P61","75.11","0.3196","12.27","2.998","2.49","0.0591","0.4074","1.173","4.529","2.137","0.0553","*","*","0.976","0.094","*","*","*","396","1.482","0.076","*","*","*","0.05","55.14","*","2.715","70.09","0.531","12.96","10.65","7.236","1.101","*","14.23","8.346","1.36","7.349","*","2.247","*","0.055","25.17","4.346","1.039","4.327","11.77","32.14","9.36","5.679","*","7.178","49.08","0.0026","*","0.339","7.571","2.329","8.059","3.739","62.61","1.025","1.626","*","4.526","0.208","1.016","1.114","10.27","0.87","66.15","7.16","55.16","231.4"
"60","P62","73.9","0.299","12.581","2.865","*","0.056","0.448","1.116","3.952","2.128","0.055","*","*","1.045","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"61","P63","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","415","1.55","*","*","*","*","*","64","*","3.07","*","0.598","*","11.77","7.8","1.32","*","*","10.4","*","7.75","*","2.53","*","*","27.5","6.7","1.21","*","13.5","35.8","*","*","*","8.75","54","*","*","*","*","*","8.97","*","76","*","1.85","*","5.01","0.183","1.17","1.29","11.1","*","72","7.8","*","*"
"62","P63.1","74.58","0.27","12.6","2.9","*","0.05","0.68","0.99","4.3","2.1","0.058","0.5","0.2","0.7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","65","*","15","*","*","*","*","16","*","*","*","*","*","*","*","*","*","*","4.4","*","*","11","5.1","*","*","*","*","*","*","7.8","*","*","*","*","1.2","*","*","*","*","*","*","*","0.8","*","*","43","270"
"63","P64","*","*","12.134","2.787","*","0.066","0.409","1.05","4.066","1.923","*","*","0.10992","*","*","*","*","*","403.583","1.361","0.084","*","*","300","0.103","64.73","*","2.935","*","*","14.792","12.51","8.12","1.45","*","17.66","9.67","*","*","0.0023","2.68","*","*","29.15","13.229","1.36","4.47","*","38.2","*","4.432","*","8.92","53.433","*","*","*","*","*","9.45","*","69.12","*","2.06","*","4.81","0.15","1.34","1.158","11.972","*","72.43","8.63","43.655","242.52"
"64","P66","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.1","58.6","*","*","*","0.55","*","10.6","7","1.25","*","16.1","9.66","1.61","*","*","2.3","*","*","26.1","*","1.16","*","10.8","32.8","*","*","*","7.77","52.5","*","*","0.29","4.73","*","8.35","4.12","*","0.97","1.67","*","4.49","0.17","1.16","1.21","*","0.8","67.4","7.39","*","*"
"65","P67","76.049","0.3042","12.341","2.864","*","0.0611","0.4867","1.31","4.615","2.198","0.06","*","*","*","*","*","*","*","396","1.52","*","*","*","*","*","64.8","*","3.13","75","0.62","*","11.1","7.2","1.42","*","16.2","9.17","*","6.56","*","2.81","*","*","27","*","1.17","4.56","10.7","34.2","7.36","6.65","*","8.32","52","*","*","*","7.29","*","8.94","3.68","78.8","0.99","1.83","*","4.87","0.19","1.16","1.27","*","*","71.3","7.53","49.21","190.7"
"66","P68","75.41","0.3","12.63","2.9","*","0.06","0.49","1.17","4.37","2.13","0.06","*","*","0.77","*","*","*","*","371","*","*","*","*","*","*","*","*","4","71","*","9","*","*","*","*","15","*","*","7","*","*","*","*","*","*","*","*","11","*","7","7","*","*","54","*","*","*","7","*","*","*","75","*","*","*","6","*","*","*","16","*","76","*","47","250"
"67","P69","74.9","0.3","12.6","2.9","*","0.06","0.47","1.17","4.61","2.23","0.055","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"68","P70","74.53","0.3","12.64","3.01","1.82","0.058","0.46","1.13","4.56","2.12","0.06","*","*","0.8","*","*","*","*","378","1.47","0.11","*","*","*","0.11","64.5","*","4.38","73.6","0.61","14.3","11.8","7.31","1.36","*","16.1","9.25","1.35","8.41","*","2.58","*","*","27.5","6.81","1.24","1.7","11.8","35.2","7.14","4.63","*","8.53","71","*","*","0.27","8.39","*","9.13","4.57","74.7","1.27","1.78","*","5.58","0.2","1.14","1.49","8.45","1.11","74.1","7.96","61.6","302"
"69","P71","74.82","0.29","12.42","2.86","*","0.054","0.47","1.13","4.66","2.15","0.05","*","*","0.75","*","*","*","*","367","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","59","*","*","*","*","*","*","*","*","*","*","*","*","*"
"70","P72","75.609","0.181","13.161","3.073","*","0.061","1.507","0.912","4.6","2.702","0.058","*","*","0.838","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","50","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
