"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"39","C32.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.77",NA,NA,NA,NA,NA,"3.25",NA,NA,"5.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.3",NA,NA,NA,NA,NA,"7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5",NA,NA,NA,"72.5",NA
"40","C33","73","0.188","12.87","2.8",NA,"0.051","0.132","1.05","3.63","5.18","0.036",NA,NA,"0.21",NA,"0.04","0.88",NA,"8","549","4.31","0.25",NA,NA,"130",NA,NA,"9.6","4.7","5.9","9.69","5.04","1.45",NA,"23.4","8.53",NA,"6.2","0.0015","1.75",NA,"68.8","32.6","0.68",NA,NA,"46","61.1","4.6","19.5",NA,"12.4",NA,"157",NA,NA,NA,NA,NA,"4.02",NA,"10.8","16.8","86.2","83","1.29",NA,"21.8","0.63","0.73",NA,"5.6",NA,"49.7","4.63","74.8","269"
"41","C34","75.4","0.18","12.3","2.7",NA,"0.05","0.12","1.1","3.4","4.6","0.03",NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","C35","73.51","0.194","13.3","2.77",NA,"0.052","0.124","1.083","3.49","5.17","0.033",NA,NA,"0.23",NA,NA,"1.7",NA,NA,"577",NA,NA,NA,NA,"116.1",NA,NA,"9.7",NA,"9.5",NA,NA,NA,NA,"21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,"42.2",NA,"3.6","23.9",NA,NA,NA,"155",NA,NA,NA,NA,NA,NA,NA,NA,"24.4","91",NA,NA,NA,"19.7",NA,NA,"2.9","20.6",NA,"50",NA,"64.6","235.8"
"43","C36","72.5","0.19","12.8","2.76","2.02","0.05","0.16","1.15","3.39","5.1","0.03",NA,NA,"0.28",NA,NA,"0.8",NA,NA,"560","4",NA,NA,NA,"125",NA,NA,"28","3.6","7","10",NA,"1.4",NA,"23",NA,NA,"8.5",NA,"2.6",NA,"63","32","0.7","2",NA,"49","44","8","42",NA,NA,NA,"157",NA,NA,NA,NA,"1.2","4.8",NA,"12","24","91","100","1.6",NA,"22",NA,NA,"2.8","2",NA,"61","5.5","74","251"
"44","C37","72.56","0.2","13.13","2.93","2.19","0.06","0.2","1.23","3.9","5.24","0.04","0.28",NA,"0.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","C38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.23",NA,NA,"523",NA,NA,NA,NA,"128",NA,"1.49",NA,"3.92",NA,"9.58",NA,"1.58",NA,NA,NA,NA,"7.7",NA,NA,NA,"59",NA,"0.67",NA,NA,NA,"52.5",NA,NA,NA,NA,NA,"153",NA,NA,NA,NA,"1.19","4.59",NA,"11.3",NA,NA,"88.5","1.62",NA,"20.9",NA,NA,"1.36","6.1",NA,NA,"4.13",NA,"256"
"46","C38.1","65.47","0.2","13.25","2.87",NA,"0.049",NA,"1.15","3.69","4.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","C39","73.63","0.2","13.09","2.87","2.08","0.05","0.13","0.98","3.63","5.05","0.04","0.36","0.17","0.31",NA,NA,"0.9",NA,NA,"540","4.59","0.26",NA,"0.21","126.5","70","1.61","12.1","2.34","4.3","8.21","4.81","1.59","0.089","25.1","8.87","1.21","6.81",NA,"1.58","0.06","60.53",NA,"0.61","1.42",NA,"48.12","55.52","7.42","22.2",NA,"14.39",NA,"148.2",NA,NA,NA,"0.006","20.7",NA,NA,"11.43","21.4","90.7","90.96","1.39",NA,"20.71",NA,"0.69","2.68","4.57","0.98","50.7","4.33","69.2","271"
"48","C40","73.59","0.2","12.87","2.82",NA,"0.05","0.13","1.07","3.49","4.99","0.03",NA,NA,"0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
