Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,Ag,As,Au,B,Ba,Be,Bi,Br,C(org),C(tot),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
K40,57.7,1.06,20.1,4.74,NA,0.137,1.14,3.72,6.67,3.73,0.588,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K42,57.77,1.09,19.39,4.87,NA,0.0825,1.12,3.76,5.53,3.63,0.6,NA,NA,0.3,NA,0.8,NA,NA,NA,2.8,NA,NA,660,1095,2.4,NA,187,8.1,105,NA,10.1,NA,NA,NA,492,NA,NA,NA,NA,0.00042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,6.4,NA,NA,NA,NA,NA,NA,NA,300,3.9,NA,3.4,NA,NA,1300,NA,NA,66,NA,0.3,NA,NA,22,NA,NA,NA,69,NA
K43,57.61,1.08,19.39,4.71,NA,0.13,1.12,3.68,6.72,3.81,0.61,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K44,57.62,1.09,19.36,4.73,NA,0.14,1.09,3.73,6.64,3.84,0.59,NA,NA,0.33,NA,NA,NA,NA,1276,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,969,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,72,499
K45,56.814,0.997,19.225,4.715,NA,0.16,1.177,3.721,6.659,3.619,0.626,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.54
K45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.92,NA,NA,1263.26,3.44,0.002,NA,NA,NA,0.014,183.5,NA,4.83,NA,0.59,5.87,5.61,3.06,4.49,NA,23.76,8.87,NA,NA,NA,1.05,NA,NA,NA,96.68,15.67,0.41,5.16,NA,105.03,66.13,2.56,NA,5.38,NA,20.12,NA,60.64,NA,NA,NA,168.73,0.19,5.94,0.016,10.12,NA,1012.47,NA,1.1,NA,11.24,0.016,0.42,2.84,26.68,NA,28.4,2.77,77.15,NA
K46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,3.44,NA,NA,1294,3.12,0.02,NA,NA,NA,0.14,137,NA,4.19,94,0.62,7.87,5.45,2.92,4.36,NA,26.5,7.5,5.68,11.1,NA,1.02,NA,NA,NA,82.1,14.69,0.41,5.81,NA,60,107,2.99,NA,4.57,NA,17.4,NA,47.7,NA,NA,NA,NA,0.34,7.49,3.13,9.59,2.21,954,6.6,1,NA,9.74,0.05,0.41,2.49,25.8,4,25.4,2.72,50.8,511
K47,57.19,1.08,19.47,4.77,NA,0.14,1.12,3.71,6.63,3.78,0.59,NA,NA,1.2,NA,NA,NA,NA,1276,NA,NA,NA,NA,NA,NA,174,NA,NA,119,NA,6,NA,NA,NA,NA,24,NA,NA,13,NA,NA,NA,NA,NA,95,NA,NA,4,NA,107,62,NA,NA,3,NA,20,NA,66,NA,NA,NA,NA,NA,7,NA,NA,NA,1115,NA,NA,NA,10,NA,NA,3,32,NA,30,NA,80,506
K49,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K49.1,57.53,1.1,19.6,4.77,NA,NA,1.05,3.67,6.91,3.78,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
