"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2T","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"21","E18","60.62","0.8539","17.74","5.848",NA,"0.0955","3.17","5.826","4.525","1.236","0.164","0.22","1.041","0.1",NA,NA,NA,"0.03",NA,"314","1",NA,NA,NA,"35.8","69","17.6","35.7","0.2","29","3","1.61","1.16",NA,"19.7","3.79","1.13","3.45",NA,"0.57",NA,"13.3",NA,"0.21","1.21","7.65","18.39","36","7.84",NA,"4.37",NA,"17.4",NA,"0.66","14.1",NA,"3.65",NA,"539","0.5","0.55",NA,"2.19",NA,"0.22","0.78","108",NA,"17.3","1.45","63.1","142.6"
"22","E19","59.8","0.86","17.2","6.31",NA,"0.1","3.2","6.4","4.5","1.27","0.17",NA,NA,"-0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","6",NA,NA,NA,"19",NA,NA,"13",NA,NA,NA,"546",NA,NA,NA,NA,NA,NA,NA,"102",NA,"18",NA,"56","156"
"23","E19.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"282",NA,NA,NA,NA,NA,"30",NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","E20","59.7","0.62","17","6.23",NA,"0.07","3.83","6","4.18","1.29","0.16",NA,NA,"0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","E21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"303",NA,NA,NA,NA,"34.9",NA,"19.4","42","0.27","30.6","3.01","1.61","1.15",NA,"20.3","3.45",NA,"4.49",NA,"0.58",NA,"16.3",NA,"0.22","1.24","8.36","17.8","34.2","9.18",NA,"4.38",NA,"18.9",NA,NA,"12.5",NA,"3.92",NA,"569","0.58","0.52",NA,"2.78",NA,"0.23","0.95","114",NA,"15.8","1.49","68.8","147"
"26","E21.1",NA,"0.84",NA,NA,NA,"0.087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.056",NA,"0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.12",NA,NA,NA,"0.025",NA,"10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.074",NA,NA,NA,NA,NA,NA,NA,NA
"27","E22","60.67","0.884","17.58","6.21",NA,NA,NA,"6.184","4.21","1.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,"2.23","1.25","0.981","250",NA,"3.01",NA,"3.17",NA,"0.418",NA,"14.6","11","0.165",NA,NA,"16.1",NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"3.04",NA,"584",NA,"0.446",NA,"2.13",NA,"0.201","0.715",NA,NA,NA,"1.08",NA,NA
"28","E22.1",NA,NA,NA,NA,NA,"0.092","3.221",NA,NA,NA,"0.173",NA,NA,"0.15",NA,"0.12",NA,NA,"5.9","298","1.35",NA,NA,"0.17",NA,NA,"24","58",NA,"36",NA,NA,NA,NA,NA,NA,"1.1",NA,"0.019",NA,NA,NA,NA,NA,"1.2","8",NA,"45","9.2",NA,"3.66",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"110","0.98","17",NA,"72","151"
"29","E23",NA,"0.73","18.4","6.39",NA,"0.09","2.44","5.83","4.35","1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"335",NA,NA,NA,NA,"35.1",NA,"18.1","41.6",NA,NA,"3.27",NA,"1.24",NA,NA,NA,NA,"3.85",NA,NA,NA,"15.7",NA,"0.21",NA,NA,"17.5",NA,NA,NA,NA,NA,"26",NA,"0.73","13.4",NA,"3.78",NA,"675","0.53","0.51",NA,"2.47",NA,NA,"1.27","108",NA,NA,"1.38",NA,"187"
"30","E24","60.34","0.86","17.69","6.13",NA,"0.09","3.26","5.98","4.14","1.26","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","E25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352.8",NA,NA,NA,NA,"33.9",NA,"17.603",NA,"0.288",NA,"2.83","1.49","1.125",NA,"19.11","3.14",NA,"4.053",NA,"0.566",NA,"15.3",NA,"0.215","0.99","8.431","16.3",NA,"9.791",NA,"4.3",NA,"19.055",NA,NA,NA,NA,"3.56","2.06","555.68","0.856","0.505",NA,"2.858",NA,"0.224","1.035",NA,"0.71","15.866","1.49",NA,"144.24"
