,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,Au,B,Ba,Be,Bi,Br,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
84,O69,71.7,NA,16.05,0.49,0.3,0.14,NA,0.4,5.32,3.58,0.024,0.34,NA,1.1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1100,NA,NA,NA,NA,12100,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1710,NA,NA,NA,62,NA,NA,NA,53,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,52,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,88,47
85,O70,71.74,0.01,15.95,0.43,NA,0.16,0.01,0.41,5.37,3.53,0.04,NA,NA,NA,NA,0.194,NA,NA,NA,10.7,NA,22.3,NA,NA,23.6,NA,0.5,198,75.2,4.8,3.9,1.55,0.02,NA,55.5,3.66,NA,7.3,NA,0.574,NA,NA,NA,6.73,1348,0.288,0.32,NA,63.7,13.7,13.2,NA,65.3,NA,3.96,NA,2325,NA,NA,NA,NA,0.8,9.4,NA,5.48,16.3,11.4,39.3,0.722,NA,12.3,14.8,0.28,3.32,1.83,5.64,21.7,2.14,84.3,37.2
86,O71,72.4,0.045,15.1,0.48,NA,0.18,0.12,0.38,5.8,3.7,0.03,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,O72,72.3,0.047,16.56,0.014,NA,0.192,0.14,0.45,4.87,3.71,0.019,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,O73,71.67,0.02,16.08,0.3,NA,0.18,0.015,0.39,5.38,3.54,0.022,NA,NA,0.66,NA,NA,NA,NA,NA,11.55,NA,22.18,NA,0.057,29.51,NA,0.459,174.1,72.85,4.27,4.5,1.94,0.018,NA,NA,4.41,NA,7.95,NA,0.691,NA,NA,NA,8.57,1848,0.343,0.273,NA,53.7,16.28,15.27,NA,66.7,NA,4.67,NA,4172,NA,NA,NA,45,0.4,10.5,NA,6.65,15.2,15.5,16.8,0.84,NA,14.5,NA,0.35,4.07,1.66,NA,22.9,2.53,99.4,46.2
89,O74,72.26,NA,16.01,0.458,NA,NA,NA,0.31,5.98,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,O75,71.87,0.01,16,0.48,NA,0.16,0.03,0.4,5.41,3.55,0.02,NA,NA,1.09,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,192,NA,7,NA,NA,NA,NA,51,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,15,NA,65,NA,NA,NA,2440,NA,NA,NA,NA,NA,11,NA,NA,NA,12,64,NA,NA,32,NA,NA,NA,7,NA,23,NA,89,39
91,O76,72.04,NA,16.24,0.626,NA,0.17,NA,NA,4.98,3.42,NA,NA,0.29,1.2,NA,NA,NA,NA,5,NA,56,27,NA,NA,26,NA,NA,192,69,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,NA,NA,NA,60,24,NA,NA,69,NA,NA,NA,2274,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,97,40
92,O77,71.5,NA,16.2,0.49,NA,0.16,NA,0.38,5.34,3.59,0.03,NA,NA,1.1,NA,NA,NA,NA,NA,8.4,18,NA,NA,NA,26,NA,NA,NA,NA,6.2,4,1.8,NA,NA,NA,3.9,NA,NA,NA,0.6,NA,NA,NA,7.8,1500,NA,NA,NA,NA,15,NA,NA,53,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,17,NA,0.8,NA,13,NA,NA,3.7,NA,NA,22,2.4,130,NA
93,O78,72.71,NA,16.28,0.44,0.43,0.16,NA,0.39,5.65,3.81,0.03,0.1,0.25,0.91,NA,NA,NA,NA,NA,NA,52.25,NA,NA,NA,29.36,NA,NA,196.53,63.71,5,4.15,1.86,0.05,NA,NA,4,NA,7.46,NA,0.64,NA,NA,NA,8.18,2104,0.35,NA,NA,63.12,16.25,NA,NA,NA,NA,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,NA,46.53,44.98,0.76,NA,13.11,13.16,0.37,3.61,NA,NA,25.75,2.42,94,40.73
