"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"52","T68","44.06","0.01","0.57","9.09","*","0.13","46.61","0.49","0.25","*","*","*","*","0.37","0.19","0.41","*","*","24","*","*","*","*","*","0.13","0.74","79","*","2879","*","7.5","*","0.4","*","*","0.79","0.02","1.09","0.01","*","*","*","*","*","*","*","*","*","*","*","0.29","2462","*","231.59","*","4.54","*","0.76","*","*","*","80","1.11","29.53","*","*","*","0.2","*","*","*","0.01","*","*","*","34.17","*","0.12","*","72.73","0.76"
"53","T70","43.3","*","0.43","8.9","*","0.125","45.6","0.46","0.01","*","0.02","*","*","0.51","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"54","T71","42.754","*","0.405","8.931","*","0.095","46.157","0.53","0.015","0.041","0.004","*","*","0.585","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"55","T74","42.76","0.02","0.06","9.07","*","0.129","46.6","0.49","0.01","0.01","0.01","*","*","0.27","0.1","0.1","*","*","4.8","*","0.1","0.1","*","100","2.7","1.4","*","124.3","2386.9","0.1","6.3","*","*","*","*","0.8","*","0.1","0.6","0.02","*","1.5","*","*","9.2","*","*","0.2","*","0.1","3.4","2314.7","*","204.7","*","*","*","0.4","*","*","*","70","3.6","6.2","0.1","3.3","1.2","0.1","0.1","*","2.7","0.1","0.1","*","0.3","26.2","11.3","0.5","0.1","63.9","0.4"
"56","T75","42.2","*","0.37","10.7","*","0.14","*","0.57","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","67.8","2900","*","7.78","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2700","*","270","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","98.3","*"
"57","T76","43.54","0.006","0.37","8.9","*","0.123","45.83","0.464","0.038","0.002","0.002","*","*","0.28","*","*","*","*","0.39","*","*","*","*","*","0.109","0.462","*","126","3008","0.004","5.21","0.002","0.243","*","*","0.485","0.01","*","0.017","*","0.001","*","*","*","0.04","1.71","0.003","0.134","*","0.004","0.211","2403","*","276","*","2.635","*","0.024","*","*","*","*","1.566","7.69","*","0.001","0.045","0.144","*","*","0.021","*","*","0.001","*","31.8","5.5","0.027","0.014","69.5","0.591"
"58","T78","43.1","0.01","0.384","8.9","*","0.113","45.2","0.47","*","0.014","*","*","*","0.415","*","*","*","*","*","*","*","*","683","*","*","*","*","114","2420","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2.44","*","2505","*","234","*","*","*","*","*","*","*","*","*","7.59","*","*","*","*","*","*","*","*","*","*","*","34.5","*","*","*","68.9","*"
"59","T80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.34","*","*","*","0.51","*","*","*","*","*","*","*","*","*","*","*","*","*","0.11","*","*","*","*","4.15","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.09","0.01","*","*"
"60","T82","42.74","*","*","8.95","6.66","0.124","45.97","0.46","*","*","*","*","*","0.44","*","*","*","*","*","*","*","*","*","*","*","*","*","105","2478","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1.7","*","*","*","*","*","2473","*","231","*","*","*","*","*","*","*","*","*","8.5","*","*","*","*","*","*","*","*","*","*","*","32","*","*","*","70","*"
"61","T83","41.446","*","*","*","*","*","*","*","*","*","*","*","*","0.37","*","*","*","*","0.317","*","*","*","*","*","*","0.484","*","108.2","832.1","0.003","4.712","0.002","0.294","0.001","*","0.26","0.005","*","0.011","*","0.001","*","*","*","0.036","1.869","0.002","0.134","*","0.006","0.182","2244","*","237.2","*","2.62","*","0.009","*","*","*","*","*","8.66","*","0.001","*","0.127","0.001","*","*","0.001","*","*","0.001","19.35","*","0.027","0.013","56.82","0.541"
