,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,B,Ba,Be,Bi,Br,C(tot),C(org),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
49,J48,NA,0.4602,15.209,2.834,NA,0.0348,0.826,1.805,3.908,4.581,NA,NA,NA,NA,NA,NA,NA,NA,1851,NA,NA,NA,NA,NA,NA,169,NA,4.538,17.39,1.688,NA,2.21,NA,1.422,NA,18.7,NA,NA,8.71,NA,NA,NA,NA,NA,91.25,NA,0.1193,NA,NA,49.99,NA,NA,NA,172.3,NA,NA,NA,3.285,NA,7.379,NA,503,0.831,0.453,NA,25.56,NA,NA,1.63,34.73,NA,NA,0.733,89.7,341
50,J48.1,60.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,J49,69.29,0.49,15.7,2.9,NA,0.03,0.78,1.73,4.18,4.79,0.13,NA,NA,0.41,NA,NA,1.28,NA,1847.5,NA,NA,NA,NA,NA,NA,NA,NA,9.4,26.47,NA,16.2,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,10.09,NA,5.8,NA,NA,223,NA,NA,NA,NA,NA,NA,NA,440.3,NA,NA,NA,22.1,NA,NA,7.31,36.6,NA,37.49,NA,85.4,312.2
52,J50,NA,NA,NA,NA,NA,0.0366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940,4.54,0.056,NA,NA,NA,NA,168,NA,4.48,17.5,1.48,16.3,2.21,0.88,1.38,NA,24.5,4.32,1.14,8.89,NA,0.36,NA,NA,NA,91.8,30.7,0.11,2.15,13.3,54.1,7.11,31.7,16.7,167,NA,NA,NA,3.57,NA,7.43,2.31,463,0.91,0.47,NA,24.7,0.95,0.12,2.28,34.2,NA,10.2,0.74,87.6,371
53,J51,68.51,0.52,15.8,2.79,NA,NA,0.72,1.9,4.42,4.56,0.13,NA,NA,NA,NA,NA,NA,NA,2027,3.85,NA,NA,NA,NA,NA,169,NA,NA,19,NA,14,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,92,30,NA,NA,13,NA,NA,31,NA,164,NA,NA,NA,3.5,NA,NA,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,86,316
54,J52,65.99,0.5,15.74,2.84,1.92,0.04,0.92,1.82,3.78,4.54,0.16,NA,NA,9.53,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,174.5,NA,7,2,4,14,2.028,0.958,1.7,NA,24,6.346,NA,9,NA,0.33,NA,NA,NA,94.5,NA,0.086,5,15,57,8,31,16.369,164,NA,NA,NA,4,NA,7.61,3,460,NA,0.584,NA,22,NA,0.078,2,29,NA,13,0.64,87,294
55,J52.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,6,NA,36,NA,NA,NA,NA,NA,NA,NA,932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,J53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.321,1.714,NA,2346,5.265,0.305,NA,NA,NA,0.204,199.7,NA,4.12,25.41,1.566,19.36,2.897,1.322,2.025,NA,43.48,6.615,NA,12.73,NA,0.466,NA,0.109,NA,103.9,NA,0.127,3.489,11.44,69.96,27.47,18.39,20.78,161.5,NA,NA,4.268,55.9,43.44,9.417,6.517,480.7,0.028,0.653,0.07,40.45,0.215,0.15,3.305,34.78,1.07,9.404,0.989,90.78,373.2
57,J54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,4.46,0.058,NA,NA,NA,NA,172,NA,4.54,17.6,1.5,16,2.18,0.88,1.35,NA,24.2,4.11,1.16,8.86,NA,0.37,NA,NA,NA,93,31.2,0.11,2.23,13.2,54.2,7.29,31.9,16.6,169,NA,NA,NA,3.5,NA,7.34,2.44,468,0.92,0.47,NA,24.9,0.92,0.13,2.36,34.9,NA,10.1,0.76,88.5,369
58,J55,69.65,0.49,15.92,3.08,NA,0.04,0.75,1.82,4.01,4.53,0.11,NA,NA,NA,NA,NA,NA,NA,1926.7,NA,NA,NA,NA,NA,NA,156.2,24.8,3.3,21.4,1.6,13.8,NA,NA,NA,NA,21,NA,NA,7,NA,NA,NA,NA,NA,95.8,NA,NA,2,11.3,49.3,5.6,30.4,NA,162.5,NA,NA,2.8,3.9,0.1,4.7,5.8,446.6,1.1,NA,NA,23.7,NA,NA,1.7,37.5,1.2,7.6,NA,78,314
