"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"32","B27","57.5","0.43","15.2","8.8",NA,"0.125","4.47","6.5","2.41","0.21","0.14","0.22",NA,"3.03",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,"12.2",NA,"23.8","7","0.06","63","3.3","2.2","0.51",NA,NA,"2.3",NA,"1.6",NA,"0.81",NA,NA,NA,"5.5",NA,"0.39","1",NA,"1.4","7.1","17",NA,"5",NA,"1.59",NA,"1.8",NA,NA,NA,NA,"0.25","32.5",NA,"2.1","1","104","0.12","0.46",NA,"1.5",NA,"0.4","0.35","215","0.6","20.8","2.45","49","51"
"33","B28","57.04","0.43","15","8.77",NA,"0.13","4.57","6.43","2.41",NA,"0.0527","3.35",NA,"3.24",NA,NA,NA,NA,NA,"130",NA,NA,NA,NA,"13",NA,"23","19",NA,"67","2.5","2","0.4",NA,NA,NA,NA,NA,NA,"0.8",NA,NA,NA,NA,NA,"0.4",NA,NA,"2","7","12",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,"1.4",NA,"112",NA,"0.4",NA,NA,NA,"0.3",NA,NA,NA,"20","2.4","68","99"
"34","B29","58.78","0.44","15.22","8.96",NA,"0.123","4.67","6.55","2.53","0.209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","B129",NA,NA,NA,NA,"5.08",NA,NA,NA,NA,NA,"0.064",NA,NA,"3.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","B30","58.2","0.45","15.23","9.16",NA,"0.12","4.65","6.24","2.45","0.22","0.05",NA,NA,"3.06",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,NA,NA,"24","23",NA,"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"3.1",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,"108",NA,NA,NA,NA,NA,NA,NA,"218",NA,"23",NA,"76","56"
"37","B31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,"12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2",NA,"15.1",NA,"3.6",NA,NA,NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA,NA,"3.1",NA,NA,NA,NA,NA,"22",NA,"76","55"
"38","B131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","B32",NA,"0.38",NA,NA,NA,"0.118",NA,NA,NA,NA,"0.045",NA,NA,NA,NA,NA,"8",NA,NA,"118",NA,NA,NA,NA,"13.2",NA,"24","25",NA,"64",NA,"2.7","0.57",NA,NA,"2.9",NA,NA,"0.002",NA,NA,NA,NA,"5.7","22",NA,NA,NA,NA,"7","10",NA,"3.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,"2.2",NA,"112",NA,NA,NA,"2",NA,NA,NA,"225",NA,"22","2.16","76",NA
"40","B132","58.5",NA,"14.9","8.9",NA,NA,"4.72","6.49","2.36","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","B33",NA,"0.43","17.6","8",NA,"0.136","4.36","6.25","3.15","0.246","0.041",NA,NA,NA,NA,"0.03","8.8",NA,NA,"120","0.37","0.04",NA,"0.16","13",NA,"28","21","0.15","66","3.3","2.2","0.52",NA,"12","2.6","0.93",NA,NA,"0.69",NA,"0.06",NA,"6.1","20","0.95","0.8",NA,"2.3","7.8","12",NA,"3.9",NA,"1.6",NA,"2",NA,NA,NA,NA,"0.33","34",NA,"2.3",NA,"110",NA,"0.54",NA,"1.7","0.04","0.44","0.44","220",NA,"22","2.4","67",NA
